"Price","Entire_Place","Bedrooms","Beds","Bathrooms","Amenities","Accommodates","Cleanliness_Rating","Host_Communication_Rating","Superhost"
888,"Entire",2,2,1.5,36,4,4.74,5,"t"
171,"Entire",1,1,1,41,2,4.89,4.98,"f"
185,"Entire",1,1,1,11,2,5,5,"f"
54,"Entire",1,2,1,49,2,4.7,4.88,"f"
150,"Entire",1,1,1,5,2,5,5,"f"
89,"Entire",1,2,1,19,4,4.5,4.5,"f"
82,"Shared",1,2,1.5,22,2,4.92,4.84,"f"
60,"Shared",1,1,1,24,2,4.62,4.93,"f"
170,"Shared",1,1,1,17,2,4.95,4.86,"f"
90,"Entire",1,1,1,19,3,4.64,4.97,"f"
81,"Entire",1,2,2,20,4,5,5,"f"
178,"Entire",1,1,1,40,2,4.86,4.96,"t"
180,"Entire",1,1,1,62,3,4.34,4.72,"t"
150,"Entire",1,1,1,14,2,5,5,"f"
245,"Entire",1,1,1,42,2,4.75,5,"f"
99,"Entire",1,2,1,37,2,5,5,"f"
126,"Entire",1,3,1,34,4,4.8,4.96,"t"
136,"Entire",2,2,1.5,42,3,4.9,4.88,"f"
450,"Entire",4,4,3.5,25,8,4.75,5,"f"
46,"Shared",1,1,1,59,1,4.9,5,"f"
429,"Entire",2,2,2,45,4,4.22,4.9,"f"
240,"Entire",1,1,2,15,2,5,5,"f"
852,"Entire",2,2,1,25,5,4.74,4.98,"t"
99,"Entire",1,1,1,49,2,4.72,5,"f"
150,"Entire",2,2,2,15,3,5,5,"f"
60,"Shared",1,1,1,49,1,4.97,4.91,"t"
